tkt_id,dt_of_issue,dest_id_nbr,orig_arpt_cd,dest_arpt_cd,depart_dt,depart_tm,arrival_dt,arrival_tm,point_of_orig_arpt_cd,prmry_cabin_class_cd,route_brkout,carr_brkout,class_of_svc_brkout,outbound_ind,length_of_stay_days,prmry_carr_cd,avg_fare_amt,avg_doc_amt,newline
1127100558400274638,2011-09-27,2,TPA,LGW,2011-10-15,17:45:00,2011-10-16,07:05:00,LGW,Y ,TPA/LGW,BA,W,N,0,BA , 442.1995, 663.0791,"
"
1124900471700183339,2011-09-02,3,VCE,ICN,2011-09-30,14:45:00,2011-10-01,15:35:00,ICN,DY,VCE/DXB/ICN,EK/EK,M/M,N,0,EK , 590.4723, 762.8247,"
"
1127100555600819502,2011-09-23,1,SZX,WUH,2011-09-23,19:50:00,2011-09-23,21:35:00,SZX,DY,SZX/WUH,CZ,H,Y,0,CZ , 106.4033, 135.5666,"
"
1124900471100279217,2011-09-02,1,HAM,MNL,2011-09-05,17:50:00,2011-09-06,19:40:00,HAM,Y ,HAM/FRA/SIN/MNL,LH/LH/SQ,S/S/K,Y,0,LH , 422.9745, 780.5605,"
"
1125200486900754264,2011-09-05,1,XIC,CKG,2011-09-07,07:45:00,2011-09-07,08:50:00,XIC,Y ,XIC/CKG,G5,Y,Y,0,G5 , 172.9320, 185.1103,"
"
1126100530400843519,2011-09-15,1,XUZ,XMN,2011-09-19,11:20:00,2011-09-19,13:10:00,XUZ,DY,XUZ/XMN,HU,M,Y,0,HU , 124.1417, 153.2441,"
"
1209703168700018110,2011-09-05,1,SEA,BOG,2012-01-23,06:00:00,2012-01-23,21:18:00,SEA,DY,SEA/BOG,CO,L,Y,0,CO , 546.2159, 642.8264,"
"
1127100555601172833,2011-09-23,1,SZX,WUH,2011-09-29,10:45:00,2011-09-29,12:30:00,SZX,Y ,SZX/WUH,CA,Y,Y,0,CA , 132.9535, 160.7540,"
"
1127200562400589902,2011-09-28,1,CAN,TAO,2011-10-05,10:45:00,2011-10-05,13:55:00,CAN,Y ,CAN/TAO,MU,W,Y,0,MU , 232.9653, 259.6157,"
"
1126200532700467184,2011-09-13,1,TAO,SZX,2011-09-16,10:40:00,2011-09-16,13:40:00,TAO,DY,TAO/SZX,ZH,Q,Y,0,ZH , 180.9373, 210.9251,"
"
1301613323700465327,2011-09-08,1,CPH,MAD,2011-10-06,,,,CPH,DY,CPH/MAD,SK,W,N,0,SK , 111.9550, 179.1697,"
"
1301613323700465327,2011-09-08,2,MAD,CPH,2011-10-07,,,,CPH,DY,MAD/CPH,SK,L,N,0,SK , 115.4662, 183.9266,"
"
1127100555600348591,2011-09-23,1,SZX,WUH,2011-09-29,18:45:00,2011-09-29,20:28:00,SZX,Y ,SZX/WUH,ZH,Y,Y,0,ZH , 132.9535, 160.7540,"
"
1126200532700685031,2011-09-13,1,CAN,HAK,2011-09-15,18:35:00,2011-09-15,19:45:00,CAN,AO,CAN/HAK,CZ,E,Y,0,CZ , 40.6818, 60.6894,"
"
1126200532700724204,2011-09-13,1,CAN,HAK,2011-09-14,22:35:00,2011-09-15,23:45:00,CAN,AO,CAN/HAK,CZ,R,Y,0,CZ , 40.6818, 60.6894,"
"
1126200532700753650,2011-09-13,1,HAK,CAN,2011-09-24,07:35:00,2011-09-24,08:40:00,HAK,AO,HAK/CAN,CZ,R,Y,0,CZ , 44.4517, 64.1667,"
"
1127600580400202952,2011-09-30,2,CPT,DXB,2011-10-12,17:10:00,2011-10-13,04:25:00,HKG,Y ,CPT/DXB,EK,W,N,1,EK , 515.6728, 564.0533,"
"
1124900471700595888,2011-09-04,1,SZX,CGQ,2011-10-04,14:55:00,2011-10-04,20:40:00,SZX,DY,SZX/CGQ,CZ,L,Y,0,CZ , 241.5654, 272.9043,"
"
1126200532700706565,2011-09-13,1,CAN,HAK,2011-09-13,15:05:00,2011-09-13,16:15:00,CAN,Y ,CAN/HAK,CZ,Y,Y,0,CZ , 94.9806, 113.1194,"
"
